epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8604809045791626,0.4855140447616577,1e-04,0.9011781215667725,0.34536632895469666
1,0.9004673361778259,0.3398838937282562,1e-04,0.9052224159240723,0.2757888734340668
2,0.9210823774337769,0.26137903332710266,1e-04,0.9196413159370422,0.24227793514728546
3,0.9265470504760742,0.25203895568847656,1e-04,0.9133110642433167,0.2652744650840759
4,0.9357427954673767,0.22105462849140167,1e-04,0.9335325956344604,0.20677034556865692
5,0.943204939365387,0.19994089007377625,1e-04,0.9484789967536926,0.15043877065181732
6,0.9501394629478455,0.1723061203956604,1e-04,0.9400386810302734,0.18918144702911377
7,0.9513454437255859,0.17520995438098907,1e-04,0.945841372013092,0.1704992651939392
8,0.9556041359901428,0.15253564715385437,1e-04,0.9521716237068176,0.14636607468128204
9,0.9600135684013367,0.14052852988243103,1e-04,0.9555125832557678,0.1419205218553543
10,0.9615210890769958,0.13459047675132751,1e-04,0.9456655383110046,0.2034311592578888
11,0.9637069702148438,0.1347319483757019,1e-04,0.961139440536499,0.1306917369365692
12,0.963556170463562,0.13124200701713562,1e-04,0.9606119394302368,0.13163137435913086
13,0.9691716432571411,0.10254228860139847,1e-04,0.9657112956047058,0.11755717545747757
14,0.9720358848571777,0.09897654503583908,1e-04,0.9681730270385742,0.12521354854106903
