epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6849325299263,1.117980718612671,0.001,0.8364691138267517,0.4051142632961273
1,0.8082836866378784,0.622858464717865,0.001,0.8774397969245911,0.3099861741065979
2,0.8334589600563049,0.5312634110450745,0.001,0.9069808125495911,0.2563912272453308
3,0.8469133973121643,0.48228955268859863,0.001,0.9113768339157104,0.24458859860897064
4,0.8578804731369019,0.45313993096351624,0.001,0.8997713923454285,0.2631550133228302
5,0.8666239380836487,0.4272722899913788,0.001,0.9022331833839417,0.2523198127746582
6,0.8670762181282043,0.42924654483795166,0.001,0.9212238192558289,0.23146173357963562
7,0.8795884251594543,0.38918963074684143,0.001,0.9143661260604858,0.2260691374540329
8,0.8766111135482788,0.40315601229667664,0.001,0.9150694608688354,0.23368141055107117
9,0.8868244290351868,0.3756900727748871,0.001,0.9069808125495911,0.24709108471870422
10,0.8851662278175354,0.3768678605556488,0.001,0.922278881072998,0.21580438315868378
11,0.886296808719635,0.366258442401886,0.001,0.9238614439964294,0.20535340905189514
12,0.890140950679779,0.3657820522785187,0.001,0.9226305484771729,0.21762003004550934
13,0.8855807781219482,0.3652576804161072,0.001,0.9264990091323853,0.21071787178516388
14,0.8964347839355469,0.3358607590198517,0.001,0.919992983341217,0.213632270693779
